id,받은날짜,경로,별점,내용
1,2026-05-23,인스타DM,4.0,좌석이 편안해요.
2,2026-05-09,이메일,5.0,재방문 의사 있습니다.
3,2026-05-26,앱리뷰,1.0,직원분이 친절했습니다.
4,2026-05-17,전화메모,,와이파이가 느려요.
5,2026/05/14,전화메모,,재방문 의사 있습니다.
6,2026-05-30,인스타DM,4.0,배달이 늦었습니다.
7,2026/05/24,설문,2.0,와이파이가 느려요.
8,2026-05-18,앱리뷰,2.0,재방문 의사 있습니다.
9,2026/05/01,카카오톡,,쿠폰 사용이 쉬웠어요.
10,2026-05-26,전화메모,,화장실이 청결했어요.
11,2026/05/18,이메일,4.0,앱이 자꾸 종료돼요.
12,2026-05-20,카카오톡,,가격이 조금 비싸요.
13,2026-05-08,카카오톡,2.0,쿠폰 사용이 쉬웠어요.
14,2026-05-12,설문,4.0,앱이 자꾸 종료돼요.
15,2026-05-25,인스타DM,,적립이 안됐어요.
16,26.5.17,앱리뷰,4.0,화장실이 청결했어요.
17,26.5.1,인스타DM,1.0,앱이 자꾸 종료돼요.
18,26.5.19,앱리뷰,,와이파이가 느려요.
19,2026-05-04,카카오톡,3.0,직원분이 친절했습니다.
20,2026-05-09,설문,,매장이 깨끗해요.
21,2026-05-01,인스타DM,4.0,앱이 자꾸 종료돼요.
22,2026-05-22,앱리뷰,2.0,좌석이 편안해요.
23,26.5.8,설문,,주문이 빨랐어요.
24,2026-05-16,앱리뷰,5.0,디카페인 메뉴 늘려주세요.
25,26.5.3,전화메모,1.0,재방문 의사 있습니다.
26,2026-05-15,설문,4.0,직원분이 친절했습니다.
27,26.5.2,설문,1.0,직원분이 친절했습니다.
28,2026-05-10,설문,2.0,가격이 조금 비싸요.
29,2026-05-16,설문,2.0,신메뉴 기대됩니다.
30,2026-05-29,카카오톡,,당도 조절 기능 있으면 좋겠어요.
31,2026-05-06,앱리뷰,,재방문 의사 있습니다.
32,2026-05-25,카카오톡,,화장실이 청결했어요.
33,2026-05-27,전화메모,1.0,직원분이 친절했습니다.
34,2026-05-15,전화메모,2.0,당도 조절 기능 있으면 좋겠어요.
35,2026-05-30,앱리뷰,4.0,매장이 깨끗해요.
36,2026-05-20,인스타DM,3.0,쿠폰 사용이 쉬웠어요.
37,2026-05-11,이메일,2.0,매장이 깨끗해요.
38,26.5.19,전화메모,,쿠폰 사용이 쉬웠어요.
39,2026-05-25,앱리뷰,,신메뉴 기대됩니다.
40,2026-05-10,앱리뷰,3.0,커피가 맛있어요.
